word,definition,example
call,A telephone connection.,she reported several anonymous calls
caller,A social or business visitor.,the room was a mess because he hadn't expected company
calm,Steadiness of mind under stress.,he accepted their problems with composure and she with equanimity
calmly,With self-possession (especially in times of stress).,he spoke calmly to the rioting students
calmness,Steadiness of mind under stress.,he accepted their problems with composure and she with equanimity
camel,Cud-chewing mammal used as a draft or saddle animal in desert regions.,
camera,Equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other).,
camp,Temporary living quarters specially built by the army for soldiers.,wherever he went in the camp the men were grumbling
campaign,A race between candidates for elective office.,I managed his campaign for governor
camping,The act of encamping and living in tents in a camp.,We're planning to camp in the field until Sunday.
campsite,A site where people on holiday can pitch a tent.,
campus,A field on which the buildings of a university are situated.,The campus is sixty hectares in size.
can,Airtight sealed metal container for food or drink or paint etc.,"She can speak English, French, and German.   I can play football.   Can you remember your fifth birthday?"
canal,(astronomy) an indistinct surface feature of mars once thought to be a system of channels; they are now believed to be an optical illusion.,
cancel,A notation cancelling a previous sharp or flat.,He cancelled his order on their website.
cancer,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream.,
candidate,A politician who is running for public office.,
candle,Stick of wax with a wick in the middle.,
candy,A rich sweet made of flavored sugar and often combined with fruit or nuts.,Fruits preserved in sugar candy after a time.
cane,A stick that people can lean on to help them walk.,Mudchester Rovers were caned 10-0.
canned,Preserve in a can or tin.,tinned foods are not very tasty
cannonball,A solid projectile that in former times was fired from a cannon.,
canon,A rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy.,the neoclassical canon
canteen,A flask for carrying water; used by soldiers or travelers.,
cap,A tight-fitting headdress.,The children were all wearing caps to protect them from the sun.
capability,The quality of being capable -- physically or intellectually or legally.,he worked to the limits of his capability
capable,(usually followed by `of') having capacity or ability.,capable of winning
capacity,Capability to perform or produce.,among his gifts is his capacity for true altruism
capital,Assets available for use in the production of further assets.,He does not have enough capital to start a business.
capital letter,"An upper-case letter (A, B, C, ... as opposed to a, b, c, ...), used for emphasis, for starting sentences and proper names, etc.",
capsule,A small container.,
captain,An officer holding a rank below a major but above a lieutenant.,The captain is the last man to leave a sinking ship.
caption,Taking exception; especially a quibble based on a captious argument.,a mere caption unworthy of a reply
captive,A person who is confined; especially a prisoner of war.,captive chains; captive hours
capture,The act of forcibly dispossessing an owner of property.,the capture of a lover's heart
car,A motor vehicle with four wheels; usually propelled by an internal combustion engine.,he needs a car to get to work
car park,An outdoor area or a building where cars may be parked.,
caravan,A procession (of wagons or mules or camels) traveling together in single file.,we were part of a caravan of almost a thousand camels
carbon,An abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds.,A methane molecule is made up of a single carbon with four hydrogens.
carbon dioxide,"The normal oxide of carbon, CO₂; a colorless, odorless gas formed during respiration and combustion and consumed by plants during photosynthesis.",
carbon footprint,"A measure of the amount of carbon dioxide produced by a person, organization or state in a given time.",
carbon monoxide,"A colourless, odourless, flammable, highly toxic gas.",
card,One of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes.,he collected cards and traded them with the other boys
cardboard,A stiff moderately thick paper.,
cardigan,Knitted jacket that is fastened up the front with buttons or a zipper.,
care,The work of providing treatment for or attending to someone or something.,no medical care was required
career,The particular occupation for which you are trained.,Washington's career as a soldier
carefree,Free of trouble and worry and care.,the carefree joys of childhood
careful,Exercising caution or showing care or attention.,they were careful when crossing the busy street
carefully,Taking care or paying attention.,they watched carefully
careless,Marked by lack of attention or consideration or forethought or thoroughness; not careful.,careless about her clothes
carelessly,Without care or concern.,carelessly raised the children's hopes without thinking of their possible disappointment
carelessness,The quality of not being careful or taking pains.,This accident was caused by carelessness.
caring,A loving feeling.,"""She doesn't care what you think."" ""I don't care, I'm still going."""
carnival,A festival marked by merrymaking and processions.,Carnival of Brazil
carpet,Floor covering consisting of a piece of thick heavy fabric (usually with nap or pile).,"After the fire, they carpeted over the blackened hardwood flooring."
carpool,"An arrangement whereby several people travel together in the same car in order to save costs, reduce pollution etc.",
carriage,A railcar where passengers ride.,The carriage ride was very romantic.
carrot,Deep orange edible root of the cultivated carrot plant.,
carry,The act of carrying something.,Adjust your carry from time to time so that you don't tire too quickly.
carton,The quantity contained in a carton.,a carton of milk
cartoon,A humorous or satirical drawing published in a newspaper or magazine.,
carve,Form by carving.,Carve a flower from the ice
cascade,A small waterfall or series of small waterfalls.,
case,An occurrence of something.,it was a case of bad judgment
cash,Money in the form of bills or coins.,there is a desperate shortage of hard cash
cashpoint,An automated teller machine.,
cassette,A container that holds a magnetic tape used for recording or playing sound or video.,
cast,The actors in a play.,The area near the stream was covered with little bubbly worm casts.
castle,A large and stately mansion.,
casual,Marked by blithe unconcern.,an ability to interest casual students
casually,Not methodically or according to plan.,he dealt with his course work casually
cat,Feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats.,
catalog/catalogue,A book or pamphlet containing an enumeration of things.,he found it in the Sears catalog
catalyst,(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected.,Economic development and integration are working as a catalyst for peace.
catastrophe,An event resulting in great loss and misfortune.,the whole city was affected by the irremediable calamity
catastrophic,Extremely harmful; bringing physical or financial ruin.,a catastrophic depression
catch,A drawback or difficulty that is not readily evident.,it sounds good but what's the catch?
catchy,Having concealed difficulty.,a catchy question
categorization/categorisation,A group of people or things arranged by class or category.,
categorize/categorise,Place into or assign to a category.,Children learn early on to categorize
category,A collection of things sharing a common attribute.,there are two classes of detergents
catering,Providing food and services.,
cathedral,Any large and important church.,
cattle,Domesticated bovine animals as a group regardless of sex or age; ; ; - bible.,so many head of cattle
cause,Events that provide the generative force that is the origin of something.,they are trying to determine the cause of the crash
caution,The trait of being cautious; being attentive to possible danger.,a man of caution
cautious,People who are fearful and cautious.,whitewater rafting is not for the timid
cave,A geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea.,We found a cave on the mountainside where we could take shelter.
CD,A soft bluish-white ductile malleable toxic bivalent metallic element; occurs in association with zinc ores.,
CD player,,
CD-ROM,A compact disk that is used with a computer (rather than with an audio system); a large amount of digital information can be stored and accessed but it cannot be altered by the user.,
cease,(`cease' is a noun only in the phrase `without cease') end.,"And with that, his twitching ceased."
ceiling,The overhead upper surface of a covered space.,he hated painting the ceiling
celebrate,Behave as expected during of holidays or rites.,Keep the commandments
celebration,A joyful occasion for special festivities to mark some happy event.,
celebrity,A widely known person.,he was a baseball celebrity
cell,Any small compartment.,the cells of a honeycomb
cellar,The lowermost portion of a structure partly or wholly below ground level; often used for storage.,
cellist,Someone who plays a violoncello.,
cello,A large stringed instrument; seated player holds it upright while playing.,
cemetery,A tract of land used for burials.,
cent,A fractional monetary unit of several countries.,He blew every last cent.
center/centre,An area that is approximately central within some larger region.,it is in the center of town
centigrade,Of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees.,a temperature of 34 centigrades
centimeter/centimetre,A metric unit of length equal to one hundredth of a meter.,
central,A workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication.,
central heating,Any of various heating systems in which a central source of heat is used to distribute heat (and sometimes hot water) throughout a building in a controlled manner.,
century,A period of 100 years.,That was his tenth professional century.
cereal,Grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet.,Which cereal would you like for breakfast?
ceremony,A formal event performed on a special occasion.,a ceremony commemorating Pearl Harbor
certain,Definite but not specified or identified.,set aside a certain sum each week
certainly,Definitely or positively (`sure' is sometimes used informally for `surely').,the results are surely encouraging
certainty,The state of being certain.,his certainty reassured the others
certificate,A document attesting to the truth of certain stated facts.,The film is certificate 15.
certification,The act of certifying or bestowing a franchise on.,
certify,"Provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes.",His high fever attested to his illness
chain,A series of things depending on each other as if linked together.,the chain of command
chair,"A seat for one person, with a support for the back.",he put his coat over the back of the chair and sat down
chairman,The officer who presides at the meetings of an organization.,address your remarks to the chairperson
challenge,A demanding or stimulating situation.,they reacted irrationally to the challenge of Russian power
challenging,Take exception to.,She challenged his claims
champagne,A white sparkling wine either produced in champagne or resembling that produced there.,
champion,Someone who has won first place in a competition.,The defending champion is expected to defeat his challenger.
championship,The status of being a champion.,he held the title for two years
chance,A possibility due to a favorable combination of circumstances.,the holiday gave us the opportunity to visit Washington
chancellor,The british cabinet minister responsible for finance.,Chancellor of the Duchy of Lancaster  Lord Chancellor
change,An event that occurs when something passes from one state or phase to another.,the change was intended to increase sales
channel,A path over which electrical signals can pass.,a channel is typically what you rent from a telephone company
chaos,A state of extreme confusion and disorder.,"After the earthquake, the local hospital was in chaos"
chaotic,Lacking a visible order or organization.,
chapter,A subdivision of a written work; usually numbered and titled.,he read a chapter every night before falling asleep
character,An imaginary person represented in a work of fiction (play or film or story).,she is the main character in the novel
characteristic,A prominent attribute or aspect of something.,the map showed roads and other features
characterize/characterise,Describe or portray the character or the qualities or peculiarities of.,You can characterize his behavior as that of an egotist
charge,An impetuous rush toward someone or something.,the wrestler's charge carried him past his adversary
chariot,A light four-wheel horse-drawn ceremonial carriage.,
charity,A foundation created to promote the public good (not for assistance to any particular individuals).,
charm,Attractiveness that interests or pleases or stimulates.,his smile was part of his appeal to her
charming,Attract; cause to be enamored.,She captured all the men's hearts
chart,A visual display of information.,Let's chart how we're going to get from here to there.
chase,The act of pursuing in an effort to overtake or capture.,the culprit started to run and the cop took off in pursuit
chat,An informal conversation.,The Chat just made a joke about my skills.
chat show,"A television or radio programme in which a host converses on various topics with guests who may be experts, celebrities, or members of the listening or viewing audience.",
cheap,Relatively low in price or charging low prices.,it would have been cheap at twice the price
cheat,Weedy annual grass often occurs in grainfields and other cultivated land; seeds sometimes considered poisonous.,My brother flunked biology because he cheated on his mid-term.
check,A written order directing a bank to pay money.,he paid all his bills by check
check-in counter/check-in,,
check-in desk/check-in,,
checkout,The act of inspecting or verifying.,they made a check of their equipment
checkpoint,A place (as at a frontier) where travellers are stopped for inspection and clearance.,The travellers were stopped at the checkpoint.
cheek,Either side of the face below the eyes.,"You’ve got some cheek, asking me for money!"
cheeky,Offensively bold.,a brash newcomer disputed the age-old rules for admission to the club
cheer,A cry or shout of approval.,a table loaded with good cheer
cheerful,Being full of or promoting cheer; having or showing good spirits.,her cheerful nature
cheerfully,In a cheerful manner.,he cheerfully agreed to do it
cheerfulness,The quality of being cheerful and dispelling gloom.,flowers added a note of cheerfulness to the drab room
cheese,A solid food prepared from the pressed curd of milk.,"Say ""cheese""! ... and there we are!"
chef,A professional cook.,Kiss the chef. (slogan on aprons used by home barbecue enthusiasts)
chemical,Material produced by or used in a reaction involving changes in atoms or molecules.,
chemist,A scientist who specializes in chemistry.,
chemistry,The science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions.,
chemotherapy,The use of chemical agents to treat or control disease (or mental illness).,
cheque,A written order directing a bank to pay money.,he paid all his bills by check
cherish,Be fond of; be attached to.,I cherish your friendship.
cherished,Be fond of; be attached to.,I cherish your friendship.
cherry,Wood of any of various cherry trees especially the black cherry.,
chess,Weedy annual native to europe but widely distributed as a weed especially in wheat.,
chest,The part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates.,The clothes are kept in a chest.
chest of drawers,"A piece of furniture which has multiple parallel, horizontal drawers stacked one above each other, used mainly for the storage of clean clothes.",
chew,A wad of something chewable as tobacco.,I popped the gum into my mouth and gave it a chew.
chewing gum,"A flavoured preparation of chicle or synthetic rubber, made for chewing.",
chicken,The flesh of a chicken used for food.,"Why do you refuse to fight? Huh, I guess you're just too chicken."
chief,A person who is in charge.,the head of the whole operation
child,A young person of either sex.,she writes books for children
childhood,The time of person's life when they are a child.,
childish,Indicating a lack of maturity.,childish tantrums
chili/chilli,Ground beef and chili peppers or chili powder often with tomatoes and kidney beans.,
chimney,A vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building.,
chimpanzee,Intelligent somewhat arboreal ape of equatorial african forests.,
chin,The protruding part of the lower jaw.,
chip,A small fragment of something broken off from the whole.,a bit of rock caught him in the eye
chirp,A sharp sound made by small birds or insects.,
chocolate,A beverage made from cocoa powder and milk and sugar; usually drunk hot.,Chocolate is a very popular treat.
choice,The person or thing chosen or selected.,he was my pick for mayor
choir,A chorus that sings as part of a religious ceremony.,The church choir practices Thursday nights.
choke,A coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current.,"Ever since he choked on a bone, he has refused to eat fish."
choose,"Pick out, select, or choose from a number of alternatives.",Take any one of these cards
chop,The irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide).,the boat headed into the chop
Christian,A religious person who believes jesus is the christ and who is a member of a christian denomination.,
chronological,Relating to or arranged according to temporal order.,chronological age
chuckle,A soft partly suppressed laugh.,She chuckled her assent to my offer as she got in the car.
chunk,A compact mass.,a ball of mud caught him on the shoulder
church,One of the groups of christians who have their own beliefs and forms of worship.,There is a lovely little church in the valley.
cigarette,Finely ground tobacco wrapped in paper; for smoking.,Could someone cigarette me?
cinema,A medium that disseminates moving pictures.,theater pieces transferred to celluloid
circle,Ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point.,he calculated the circumference of the circle
circuit,An electrical device that provides a path for electrical current to flow.,Having circuited the air.
circuitry,Electronic equipment consisting of a system of circuits.,
circular,An advertisement (usually printed on a page or in a leaflet) intended for wide distribution.,he mailed the circular to all subscribers
circumstance,A condition that accompanies or influences some event or activity.,
circus,A travelling company of entertainers; including trained animals.,he ran away from home to join the circus
citizen,A native or naturalized member of a state or other political community.,Diogenes reckoned himself a citizen of the world.
citizenship,The status of a citizen with rights and duties.,
city,A large and densely populated urban area; may include several independent administrative districts.,Ancient Troy was a great city
citywide,Occurring or extending throughout a city.,citywide bussing
civil,Applying to ordinary citizens as contrasted with the military.,civil authorities
civilization/civilisation,"A society in an advanced state of social development (e.g., with complex legal and political and religious organizations).",the people slowly progressed from barbarism to civilization
claim,An assertion of a right (as to money or property).,his claim asked for damages
clam,Burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness.,Those sneakers cost me fifty clams!
clap,A sudden very loud noise.,He summoned the waiter with a clap.
clarify,Make clear and (more) comprehensible.,clarify the mystery surrounding her death
class,A collection of things sharing a common attribute.,there are two classes of detergents
classic,A creation of the highest excellence.,Users who dislike the new visual layout can return to classic mode.
classical,Traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste.,classical dance.
classical music,"Music of the classical period; the music of Mozart, Haydn, etc; the musical period before the romantic.",
classification,The act of distributing things into classes or categories of the same type.,
classify,Arrange or order by classes or categories.,How would you classify these pottery shards--are they prehistoric?
classmate,An acquaintance that you go to school with.,"Danny and I have been classmates for five years, but I've never spoken to him outside of lessons."
classroom,A room in a school where lessons take place.,
clause,(grammar) an expression including a subject and predicate but not constituting a complete sentence.,
clean,A weightlift in which the barbell is lifted to shoulder height and then jerked overhead.,This place needs a clean.
cleaner,A preparation used in cleaning something.,I'll have to take this shirt to the cleaners.
clear,The state of being free of suspicion.,investigation showed that he was in the clear
clearly,Without doubt or question.,they were clearly lost
clearness,Free from obscurity and easy to understand; the comprehensibility of clear expression.,
clerical,Of or relating to clerks.,clerical work
clerk,"An employee who performs clerical work (e.g., keeps records or accounts).",The law school graduate clerked for the supreme court judge for the summer.
clever,Showing self-interest and shrewdness in dealing with others.,a cagey lawyer
click,A short light metallic sound.,"I turned the key, the lock gave a click and the door opened;  a click of one’s fingers"
client,A person who seeks the advice of a lawyer.,
cliff,A steep high face of rock.,he stood on a high cliff overlooking the town
climate,The weather in some location averaged over some long period of time.,the dank climate of southern Wales
climate change,"Natural large-scale and long-term change in the Earth's climatic system, as brought about by ice ages.",
climb,An upward slope or grade (as in a road).,the car couldn't make it up the rise
climber,A vine or climbing plant that readily grows up a support or over other plants.,
climbing,An event that involves rising to a higher point (as in altitude or temperature or intensity etc.).,Prices climbed steeply.
clinic,A medical establishment run by a group of medical specialists.,
clip,A metal frame or container holding cartridges; can be inserted into an automatic gun.,Use this clip to attach the check to your tax form.
clock,A timepiece that shows the time of day.,"This car has over 300,000 miles on the clock."
clog,Footwear usually with wooden soles.,Dutch people rarely wear clogs these days.
clone,A person who is almost identical to another.,The scientists were able to clone a sheep.
close,The temporal end; the concluding time.,the stopping point of each round was signaled by a bell
closed,Move so that an opening or passage is obstructed; make shut.,Close the door
closely,In a close relation or position in time or space.,the onsets were closely timed
closure,Approaching a particular destination; a coming closer; a narrowing of a gap.,the ship's rapid rate of closing gave them little time to avoid a collision
cloth,Artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers.,the fabric in the curtains was light and semitransparent
clothes,Clothing in general.,she was refined in her choice of apparel
clothing,A covering designed to be worn on a person's body.,to feed and clothe a family; to clothe oneself extravagantly
cloud,"Any collection of particles (e.g., smoke or dust) or gases that is visible.",He opened the door and was greeted by a cloud of bats.
cloudy,Lacking definite form or limits; - h.t.moore.,gropes among cloudy issues toward a feeble conclusion
clown,A rude or vulgar fool.,
club,A team of professional baseball players who play and travel together.,each club played six home games with teams in its own division
clue,A slight indication.,"The crossword compiler wasn't sure how to clue the word ""should""."
clumsy,Lacking grace in movement or posture.,a gawky lad with long ungainly legs
coach,(sports) someone in charge of training an athlete or a team.,"John flew coach to Vienna, but first-class back home."
coaching,The job of a professional coach.,She has coached many opera stars.
coal,Fossil fuel consisting of carbonized vegetable matter deposited in the carboniferous period.,Put some coal on the fire.
coalition,An organization of people (or countries) involved in a pact or treaty.,The Liberal Democrats and Conservative parties formed a coalition government in 2010.
coarse,Of textures that are rough to the touch or substances consisting of relatively large particles.,coarse meal
coast,The shore of a sea or ocean.,The rocky coast of Maine has few beaches.
coastal,Of or relating to a coast.,coastal erosion
coastline,The outline of a coast.,
coat,An outer garment that has sleeves and covers the body from shoulder down; worn outdoors.,"When the dog shed its coat, it left hair all over the furniture and the carpet."
cocktail,A short mixed drink.,Scientists found a cocktail of pollutants in the river downstream from the chemical factory.
cocoa,A beverage made from cocoa powder and milk and sugar; usually drunk hot.,Do you like cocoa?
coconut,The edible white meat of a coconut; often shredded for use in e.g. cakes and curries.,
cod,The vessel that contains the seeds of a plant (not the seeds themselves).,
code,A set of rules or principles or laws (especially written ones).,This flavour of soup has been assigned the code WRT-9.
coffee,A beverage consisting of an infusion of ground coffee beans.,he ordered a cup of coffee
coffin,Box in which a corpse is buried or cremated.,
coherence,The state of cohering or sticking together.,His arguments lacked coherence.
coherent,"Marked by an orderly, logical, and aesthetically consistent relation of parts.",a coherent argument
coin,A flat metal piece (usually a disc) used as money.,She spent some serious coin on that car!
coincide,"Go with, fall together.",The two squares coincide nicely.
coincidence,An event that might have been arranged although it was really accidental.,
coke,Carbon fuel produced by distillation of coal.,"The plant should produce approximately 550,000 tons of screened blast furnace coke per year."
cola,Large genus of african trees bearing kola nuts.,
cold,A mild viral infection involving the nose and respiratory passages (but not the lungs).,will they never find a cure for the common cold?
collapse,An abrupt failure of function or complete physical exhaustion.,the commander's prostration demoralized his men
collar,A band that fits around the neck and is usually folded over.,a collar of brawn
colleague,An associate that one works with.,"Young Fortinbras,/ Holding a weak supposal of our worth/...Colleagued with the dream of his advantage,/...hath not failed to pester us with message/ Importing the surrender of those lands/Lost by his father. - Hamlet (Act I, Scene 2)"
collect,A short prayer generally preceding the lesson in the church of rome or the church of england.,Suzanne collected all the papers she had laid out.
collection,Several things grouped together or considered as a whole.,"The asteroid belt consists of a collection of dust, rubble, and minor planets."
collector,A person who collects things.,He is an avid collector of nineteenth-century postage stamps.
college,The body of faculty and students of a college.,"College of Cardinals, College of Surgeons"
collocation,A grouping of words in a sentence.,
colon,The part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted.,
colonial,A resident of a colony.,
color/colour,A visual attribute of things that results from the light they emit or transmit or reflect.,a white color is made up of many different wavelengths of light
colorful/colourful,Having striking color.,colorful autumn leaves
column,A line of units following one after another.,"It was too hard to read the text across the whole page, so I split it into two columns."
columnist,A journalist who writes editorials.,
coma,A state of deep and often prolonged unconsciousness; usually the result of disease or injury.,
comb,A flat device with narrow pointed teeth on one edge; disentangles or arranges hair.,I need to comb my hair before we leave the house
combination,A collection of things that have been combined; an assemblage of separate parts or qualities.,
combine,Harvester that heads and threshes and cleans grain while moving across the field.,We can't finish harvesting because our combine is stuck in the mud.
come,The thick white fluid containing spermatozoa that is ejaculated by the male genital tract.,She’ll be coming ’round the mountain when she comes [...]
comedian,A professional performer who tells jokes and performs comical acts.,
comedy,Light and humorous drama with a happy ending.,Why would you be watching comedy when there are kids starving right now?
comet,(astronomy) a relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit.,
comfort,A state of being relaxed and feeling no pain.,he is a man who enjoys his comfort
comfortable,Providing or experiencing physical well-being or relief (`comfy' is informal).,comfortable clothes
comfortably,In mental comfort; without stress.,he works comfortably on three continents
comic,A professional performer who tells jokes and performs comical acts.,a comic stereotype
comma,"A punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence.",
command,An authoritative direction or instruction to do something.,I was given a command to cease shooting.
commander,An officer in command of a military unit.,
commemorate,Mark by some ceremony or observation.,The citizens mark the anniversary of the revolution with a march and a parade
comment,A statement that expresses a personal opinion or belief or adds information.,from time to time she contributed a personal comment on his account
commerce,Transactions (sales and purchases) having the objective of supplying commodities (goods and services).,
commercial,A commercially sponsored ad on radio or television.,
commission,A special group delegated to consider some matter;  - milton berle.,a committee is a group that keeps minutes and loses hours
commit,"Perform an act, usually with a negative connotation.",perpetrate a crime
commitment,The trait of sincere and steadfast fixity of purpose.,a man of energy and commitment
committee,A special group delegated to consider some matter;  - milton berle.,a committee is a group that keeps minutes and loses hours
common,A piece of open land for recreational use in an urban area.,they went for a walk in the park
common sense,Ordinary sensible understanding; one's basic intelligence which allows for plain understanding and without which good decisions or judgments cannot be made.,
commonly,Under normal conditions.,usually she was late
commonwealth,The official name of some states in the united states (massachusetts and pennsylvania and virginia and kentucky) and associated territories (puerto rico).,
communicate,Transmit information.,Please communicate this message to all employees
communication,The activity of communicating; the activity of conveying information.,they could not act without official communication from Moscow
communicative,Of or relating to communication.,communicative arts
community,A group of people living in a particular local area.,the team is drawn from all parts of the community
commute,A regular journey of some distance to and from your place of work.,there is standing room only on the high-speed commute
companion,A friend who is frequently in the company of another.,drinking companions
company,An institution created to conduct business.,he only invests in large well-established companies
comparative,The comparative form of an adjective or adverb.,`faster' is the comparative of the adjective `fast'
compare,Qualities that are comparable.,no comparison between the two books
comparison,The act of examining resemblances.,they made a comparison of noise levels
compassion,A deep awareness of and sympathy for another's suffering.,
compassionate,Share the suffering of.,"The Compassionate, the All-Compassionate"
compatible,Able to exist and perform in harmonious or agreeable combination.,a compatible married couple
compensate,Adjust for.,engineers will work to correct the effects or air resistance
compensation,Something (such as money) given or received as payment or reparation (as for a service or loss or injury).,
compete,Compete for something; engage in a contest; measure oneself against others.,
competence,The quality of being adequately or well qualified physically and intellectually.,That question is out with the competence of this court and must be taken to a higher court.
competent,Properly or sufficiently qualified or capable or efficient.,a competent typist
competition,A business relation in which two parties compete to gain customers.,business competition can be fiendish at times
competitive,Involving competition or competitiveness.,competitive games
competitor,The contestant you hope to defeat.,he had respect for his rivals
compile,Get or gather together.,I am accumulating evidence for the man's unfaithfulness to his wife
complain,"Express complaints, discontent, displeasure, or unhappiness.",My mother complains all day
complaint,An often persistent bodily disorder or disease; a cause for complaining.,"I have no complaints about the quality of his work, but I don't enjoy his company."
complement,A word or phrase used to complete a grammatical construction.,The complement of blue is orange.
complete,Come or bring to a finish or an end.,He finished the dishes
completely,To a complete degree or to the full or entire extent (`whole' is often used informally for `wholly').,he was wholly convinced
completion,(american football) a successful forward pass in football.,
complex,A conceptual whole made up of complicated and related parts.,"the complex of shopping malls, houses, and roads created a new town"
complexion,The coloring of a person's face.,a rugged complexion;  a sunburnt complexion
complexity,The quality of being intricate and compounded.,he enjoyed the complexity of modern computers
complicate,Make more complicated.,There was a new development that complicated the matter
complicated,Make more complicated.,There was a new development that complicated the matter
compliment,A remark (or act) expressing praise and admiration.,
component,An abstract part of something.,jealousy was a component of his character
compose,Form the substance of.,Greed and ambition composed his personality
composer,Someone who composes music as a profession.,
composition,The spatial property resulting from the arrangement of parts in relation to each other and to the whole.,harmonious composition is essential in a serious work of art
compound,A whole formed by a union of two or more elements or parts.,
comprehension,An ability to understand the meaning or importance of something (or the knowledge acquired as a result).,how you can do that is beyond my comprehension
comprehensive,An intensive examination testing a student's proficiency in some special field of knowledge.,she took her comps in English literature
compress,A cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever).,The force required to compress a spring varies linearly with the displacement.
compression,An increase in the density of something.,
compromise,A middle way between two extremes.,a compromise of character or right
compulsory,Required by rule.,in most schools physical education is compulsory
compute,Make a mathematical calculation or computation.,Can anyone here compute the square root of 10201?
computer,A machine for performing calculations automatically.,
conceal,Prevent from being seen or discovered.,Muslim women hide their faces
concede,Admit (to a wrongdoing).,She confessed that she had taken the money
conceit,Feelings of excessive pride.,a man of quick conceit
conceivable,Capable of being imagined.,that is one possible answer
conceive,Have the idea for.,He conceived of a robot that would help paralyzed patients
concentrate,The desired mineral that is left after impurities have been removed from mined ore.,to concentrate rays of light into a focus
concentration,The strength of a solution; number of molecules of a substance in a given volume.,
concept,An abstract or general idea inferred or derived from specific instances.,
conception,An abstract or general idea inferred or derived from specific instances.,
concern,Something that interests you because it is important or affects you.,the safety of the ship is the captain's concern
concerned,Be relevant to.,There were lots of questions referring to her talk
concerning,Be relevant to.,There were lots of questions referring to her talk
concert,A performance of music by players or singers not involving theatrical staging.,I'm going to the rock concert on Friday.
concession,A contract granting the right to operate a subsidiary business.,he got the beer concession at the ball park
conclude,Decide by reasoning; draw or come to a conclusion.,We reasoned that it was cheaper to rent than to buy a house
conclusion,A position or opinion or judgment reached after consideration.,a decision unfavorable to the opposition
concrete,A strong hard building material composed of sand and gravel and cement and water.,The road was made of concrete that had been poured in large slabs.
condemn,Express strong disapproval of.,We condemn the racism in South Africa
condition,A state at a particular time.,a condition (or state) of disrepair
conduct,Manner of acting or controlling yourself.,Good conduct will be rewarded and likewise poor conduct will be punished.
conductor,The person who leads a musical group.,train conductor; tram conductor
cone,Any cone-shaped artifact.,A cone is an object (the apex) and a natural transformation from a constant functor (whose image is the apex of the cone and its identity morphism) to a diagram functor. Its components are projections from the apex to the objects of the diagram and it has a “naturality triangle” for each morphism in the diagram. (A “naturality triangle” is just a naturality square which is degenerate at its apex side.)
conference,A prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda).,
conferencing,"To assess (a student) by one-on-one conversation, rather than an examination.",
confess,"Confess to a punishable or reprehensible deed, usually under pressure.",I confess to spray-painting all over that mural!
confession,An admission of misdeeds or faults.,"Without the real murderer's confession, an innocent person will go to jail."
confidence,Freedom from doubt; belief in yourself and your abilities.,his assurance in his superiority did not make him popular
confident,Having or marked by confidence or assurance.,a confident speaker
confidently,With confidence; in a confident manner.,we have to do what is right confidently
confine,Place limits on (extent or access).,restrict the use of this parking lot
confirm,Establish or strengthen as with new evidence or facts.,his story confirmed my doubts
confirmation,Additional proof that something that was believed (some fact or hypothesis or theory) is correct.,fossils provided further confirmation of the evolutionary theory
conflict,An open clash between two opposing groups (or individuals); --thomas paine.,the harder the conflict the more glorious the triumph
confront,"Oppose, as in hostility or a competition.",You must confront your opponent
confuse,Mistake one thing for another.,you are confusing me with the other candidate
confused,Mistake one thing for another.,you are confusing me with the other candidate
confusing,Mistake one thing for another.,you are confusing me with the other candidate
confusion,Disorder resulting from a failure to behave predictably.,the army retreated in confusion
congratulate,Say something to someone that expresses praise.,He complimented her on her last physics paper
